id	team	year	stats_league	is_pitcher	is_new	is_foreign	games_played	plate_appearances	singles	doubles	triples	home_runs	strikeouts	bases_on_balls	runs
2583	han	2009	npb	false	false	false	55	186	19	3	0	7	38	13	15
1667	nip	2009	npb	false	false	false	9	12	4	1	0	0	1	1	1
1657	yom	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
1656	yak	2009	npb	false	false	false	135	469	86	18	7	9	60	29	64
1658	lot	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2036	nip	2009	npb	false	false	false	74	54	6	2	0	0	13	3	3
1663	hir	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
1660	lot	2009	jindust	false	true	false	0	0	0	0	0	0	0	0	0
3071	lot	2009	npb	false	false	false	117	450	72	37	4	12	48	19	57
2591	yak	2009	npb	true	false	false	44	171	32	0	0	3	42	6	13
1654	orx	2009	juniv	true	true	false	0	0	0	0	0	0	0	0	0
2548	lot	2009	mlb	false	true	false	0	0	0	0	0	0	0	0	0
3862	chu	2009	npb	false	false	false	106	466	89	16	3	5	56	37	51
3482	rak	2009	npb	true	false	false	12	165	46	0	0	3	27	21	38
3466	nip	2009	npb	false	false	false	3	2	0	0	0	0	2	0	0
3047	sft	2009	npb	false	false	false	23	73	17	4	1	0	13	3	5
1698	lot	2009	npb	true	false	false	51	253	54	0	0	1	52	23	24
1692	orx	2009	npb	false	false	false	1	0	0	0	0	0	0	0	0
1696	chu	2009	jhs	false	true	false	0	0	0	0	0	0	0	0	0
2691	nip	2009	npb	true	false	false	4	16	7	0	0	0	2	0	3
3407	yom	2009	npb	false	false	false	17	36	5	3	0	0	7	3	3
2789	rak	2009	npb	true	false	false	28	787	158	0	0	3	159	36	48
2643	chu	2009	npb	true	false	false	51	212	52	1	0	2	41	10	16
1693	chu	2009	jhs	true	true	false	0	0	0	0	0	0	0	0	0
1705	chu	2009	juniv	false	true	false	0	0	0	0	0	0	0	0	0
1706	sft	2009	npb	true	false	false	1	15	7	0	0	0	1	0	3
3373	nip	2009	npb	false	false	false	63	205	25	14	1	5	53	10	19
1708	chu	2009	npb	false	false	false	20	19	0	1	0	0	1	0	3
1711	han	2009	npb	true	false	false	27	678	163	0	0	5	101	50	64
1700	nip	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
1709	sei	2009	npb	true	false	false	20	99	30	0	0	2	10	4	16
1712	chu	2009	juniv	true	true	false	0	0	0	0	0	0	0	0	0
1703	hir	2009	juniv	false	true	false	0	0	0	0	0	0	0	0	0
2196	yak	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
4055	sei	2009	npb	true	false	false	25	593	134	0	0	16	108	40	78
2580	sei	2009	npb	false	false	false	108	335	59	21	1	4	53	25	31
2902	yak	2009	npb	true	false	false	30	792	159	0	0	21	112	41	59
4035	nip	2009	npb	false	false	false	127	513	85	25	5	20	85	56	71
3394	rak	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
1683	han	2009	npb	true	false	false	7	99	21	0	0	1	16	7	6
1681	rak	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
1674	sft	2009	jhs	false	true	false	0	0	0	0	0	0	0	0	0
2527	rak	2009	npb	false	false	false	46	140	27	2	0	0	16	12	6
3546	yok	2009	npb	false	false	false	83	273	53	4	5	1	60	6	24
1947	hir	2009	npb	false	false	false	98	318	64	7	0	2	47	23	26
3008	hir	2009	npb	false	false	false	123	457	84	19	0	9	80	22	36
3495	yok	2009	npb	true	false	false	35	177	25	0	0	3	40	16	12
1685	rak	2009	npb	false	false	false	1	3	0	0	0	0	1	0	0
3378	nip	2009	npb	false	false	false	99	211	39	1	1	0	13	6	10
1673	rak	2009	npb	false	false	false	23	28	2	0	0	0	5	1	2
3971	chu	2009	npb	false	false	false	74	154	28	12	0	1	18	12	11
1676	rak	2009	juniv	true	true	false	0	0	0	0	0	0	0	0	0
1678	yom	2009	npb	false	false	false	36	63	16	2	0	0	19	1	4
2666	hir	2009	npb	false	false	false	0	0	0	0	0	0	0	0	0
1679	rak	2009	jindust	true	true	false	0	0	0	0	0	0	0	0	0
3691	nip	2009	unknown	false	true	true	0	0	0	0	0	0	0	0	0
818	orx	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
2536	lot	2009	npb	true	false	false	23	618	140	0	0	15	112	45	85
822	chu	2009	jindust	false	true	false	0	0	0	0	0	0	0	0	0
826	han	2009	npb	true	false	false	0	0	0	0	0	0	0	0	0
3817	sft	2009	npb	false	false	false	106	434	56	21	0	20	95	42	45
3116	chu	2009	npb	true	false	false	46	133	29	0	0	4	21	12	18
2110	lot	2009	npb	true	false	false	33	174	43	0	0	5	18	9	29
3389	han	2009	npb	false	false	false	3	1	1	0	0	0	0	0	0
3496	chu	2009	npb	true	false	false	12	60	19	0	0	0	10	5	10
3540	yom	2009	npb	true	false	true	61	248	33	0	0	1	91	27	18
